time,x_true,y_true,v_true,yaw_true,nkf_x,nkf_y,nkf_v,nkf_yaw,ekf_x,ekf_y,ekf_v,ekf_yaw,ukf_x,ukf_y,ukf_v,ukf_yaw,nkf_xy_error,nkf_v_error,nkf_yaw_error,ekf_xy_error,ekf_v_error,ekf_yaw_error,ukf_xy_error,ukf_v_error,ukf_yaw_error
3.4,6.59645,9.21311,3.39137,1.08832,7.18283,8.73983,3.2673,1.04139,7.18882,8.7506,3.25773,1.04164,7.18994,8.73311,3.26655,1.0408,0.753542,0.124072,0.0469257,0.751543,0.133641,0.0466758,0.763302,0.124816,0.0475183
3.5,6.75381,9.51353,3.36749,1.10263,7.25726,9.00878,3.1,1.06579,7.26423,9.01744,3.08532,1.0659,7.26211,9.0086,3.11774,1.06555,0.712913,0.267483,0.0368409,0.711785,0.282165,0.0367355,0.716469,0.249744,0.0370775
3.6,6.90576,9.81404,3.24023,1.09655,7.42311,9.39314,3.37044,1.07328,7.42919,9.40445,3.36527,1.07347,7.43181,9.38328,3.35591,1.07277,0.666934,0.130208,0.0232693,0.664636,0.125041,0.0230759,0.679912,0.115679,0.023776
3.7,7.05374,10.1023,3.33127,1.10822,7.5835,9.6925,3.38716,1.07898,7.58977,9.70358,3.38068,1.07915,7.59202,9.6831,3.37652,1.07854,0.669772,0.0558926,0.0292415,0.668066,0.0494108,0.0290664,0.682262,0.0452496,0.0296778
3.8,7.2024,10.4004,3.07299,1.12686,7.69256,10.0337,3.39805,1.09853,7.69887,10.0447,3.39095,1.0987,7.70127,10.0241,3.38901,1.09807,0.612189,0.325064,0.0283341,0.610741,0.317966,0.0281562,0.624896,0.316018,0.0287879
3.9,7.33438,10.6779,3.01235,1.11763,7.79998,10.3248,3.29953,1.11464,7.80653,10.3348,3.28791,1.11484,7.80805,10.319,3.30574,1.11411,0.584371,0.28718,0.00299159,0.583675,0.275559,0.00279337,0.59432,0.293386,0.00352154
4,7.46626,10.9488,2.90969,1.09598,7.99026,10.5781,3.28509,1.1067,7.99671,10.5879,3.27313,1.10691,7.99875,10.573,3.29337,1.10616,0.641837,0.375402,0.0107178,0.641537,0.36344,0.0109222,0.651752,0.383684,0.0101741
4.1,7.59929,11.2075,2.96521,1.09037,8.11148,10.8531,3.20535,1.11297,8.11627,10.8635,3.19084,1.11333,8.12567,10.8462,3.22303,1.11188,0.622888,0.240136,0.0225923,0.620994,0.22563,0.0229547,0.638454,0.257821,0.021508
4.2,7.73633,11.4705,3.00391,1.10769,8.22168,11.1208,3.11018,1.12058,8.22606,11.1309,3.0938,1.12095,8.23844,11.1144,3.13539,1.11935,0.598218,0.106276,0.0128944,0.595942,0.0898886,0.0132627,0.615564,0.131486,0.011665
4.3,7.87052,11.7393,2.99125,1.10912,8.30422,11.4162,3.06038,1.13732,8.30906,11.426,3.04508,1.13761,8.32042,11.4107,3.08343,1.1363,0.540819,0.0691257,0.0282044,0.538932,0.0538313,0.028492,0.557116,0.0921818,0.0271803
